Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0266384	rtr-5	0	2	LastDelay	0.0066384	6638.4	1	3
0.0266384	rtr-5	0	2	FullDelay	0.0066384	6638.4	1	3
0.0266384	rtr-29	0	2	LastDelay	0.0066384	6638.4	1	3
0.0266384	rtr-29	0	2	FullDelay	0.0066384	6638.4	1	3
0.0284936	rtr-2	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-2	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-32	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-32	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-28	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-28	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-4	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-4	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-6	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-6	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-7	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-7	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-9	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-9	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-15	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-15	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-16	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-16	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-27	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-27	0	2	FullDelay	0.00849359	8493.59	1	4
0.0284936	rtr-37	0	2	LastDelay	0.00849359	8493.59	1	4
0.0284936	rtr-37	0	2	FullDelay	0.00849359	8493.59	1	4
0.0303488	rtr-8	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-8	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-22	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-22	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-21	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-21	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-10	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-10	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-24	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-24	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-14	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-14	0	2	FullDelay	0.0103488	10348.8	1	5
0.0303488	rtr-26	0	2	LastDelay	0.0103488	10348.8	1	5
0.0303488	rtr-26	0	2	FullDelay	0.0103488	10348.8	1	5
0.031712	rtr-31	0	2	LastDelay	0.011712	11712	1	4
0.031712	rtr-31	0	2	FullDelay	0.011712	11712	1	4
0.032204	rtr-23	0	2	LastDelay	0.012204	12204	1	6
0.032204	rtr-23	0	2	FullDelay	0.012204	12204	1	6
0.032204	rtr-20	0	2	LastDelay	0.012204	12204	1	6
0.032204	rtr-20	0	2	FullDelay	0.012204	12204	1	6
0.032204	rtr-17	0	2	LastDelay	0.012204	12204	1	6
0.032204	rtr-17	0	2	FullDelay	0.012204	12204	1	6
0.032204	rtr-11	0	2	LastDelay	0.012204	12204	1	6
0.032204	rtr-11	0	2	FullDelay	0.012204	12204	1	6
0.032204	rtr-25	0	2	LastDelay	0.012204	12204	1	6
0.032204	rtr-25	0	2	FullDelay	0.012204	12204	1	6
0.032928	rtr-34	0	3	LastDelay	0.002928	2928	1	1
0.032928	rtr-34	0	3	FullDelay	0.002928	2928	1	1
0.0340592	rtr-18	0	2	LastDelay	0.0140592	14059.2	1	7
0.0340592	rtr-18	0	2	FullDelay	0.0140592	14059.2	1	7
0.0340592	rtr-13	0	2	LastDelay	0.0140592	14059.2	1	7
0.0340592	rtr-13	0	2	FullDelay	0.0140592	14059.2	1	7
0.0340592	rtr-19	0	2	LastDelay	0.0140592	14059.2	1	7
0.0340592	rtr-19	0	2	FullDelay	0.0140592	14059.2	1	7
0.0347832	rtr-3	0	3	LastDelay	0.0047832	4783.2	1	2
0.0347832	rtr-3	0	3	FullDelay	0.0047832	4783.2	1	2
0.0347832	rtr-33	0	3	LastDelay	0.0047832	4783.2	1	2
0.0347832	rtr-33	0	3	FullDelay	0.0047832	4783.2	1	2
0.0349144	rtr-12	0	2	LastDelay	0.0149144	14914.4	1	5
0.0349144	rtr-12	0	2	FullDelay	0.0149144	14914.4	1	5
0.0366384	rtr-30	0	3	LastDelay	0.0066384	6638.4	1	3
0.0366384	rtr-30	0	3	FullDelay	0.0066384	6638.4	1	3
0.0366384	rtr-5	0	3	LastDelay	0.0066384	6638.4	1	3
0.0366384	rtr-5	0	3	FullDelay	0.0066384	6638.4	1	3
0.0366384	rtr-29	0	3	LastDelay	0.0066384	6638.4	1	3
0.0366384	rtr-29	0	3	FullDelay	0.0066384	6638.4	1	3
0.0384936	rtr-2	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-2	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-32	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-32	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-28	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-28	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-4	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-4	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-6	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-6	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-7	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-7	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-9	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-9	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-15	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-15	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-16	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-16	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-27	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-27	0	3	FullDelay	0.00849359	8493.59	1	4
0.0384936	rtr-37	0	3	LastDelay	0.00849359	8493.59	1	4
0.0384936	rtr-37	0	3	FullDelay	0.00849359	8493.59	1	4
0.0403488	rtr-8	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-8	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-22	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-22	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-21	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-21	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-10	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-10	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-24	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-24	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-14	0	3	LastDelay	0.0103488	10348.8	1	5
0.0403488	rtr-14	0	3	FullDelay	0.0103488	10348.8	1	5
0.0403488	rtr-26	0	3	LastDelay	0.0103488	10348.8	1	5
